# file...... IEEE_13_house_passiveDR_transformer_power.csv
# date...... Thu Jun 11 17:40:01 2020
# user...... User
# host...... (null)
# target.... transformer 27
# trigger... (none)
# interval.. 60
# limit..... 2880
# timestamp,power_in_A.real,power_in_A.imag,power_in_B.real,power_in_B.imag,power_in_C.real,power_in_C.imag,power_out_A.real,power_out_A.imag,power_out_B.real,power_out_B.imag,power_out_C.real,power_out_C.imag,power_losses_A.real,power_losses_A.imag
2000-08-01 00:28:00 PDT,+113772,-47765.8,+109615,-47394.5,+75898.2,-48967,+113771,-47772.5,+109614,-47400.8,+75897.7,-48970.6,+1.00989,+6.70429
2000-08-01 00:29:00 PDT,+111819,-48282.7,+108646,-47600.7,+75288,-49066.4,+111818,-48289.2,+108645,-47606.9,+75287.5,-49070,+0.984091,+6.53227
2000-08-01 00:30:00 PDT,+111178,-48292.6,+107687,-47805.9,+73896.9,-49461.7,+111177,-48299.1,+107686,-47812,+73896.4,-49465.2,+0.974724,+6.46983
2000-08-01 00:31:00 PDT,+110996,-48294,+107023,-47919.6,+73995.4,-49363.1,+110995,-48300.4,+107022,-47925.6,+73994.9,-49366.6,+0.972061,+6.45208
2000-08-01 00:32:00 PDT,+110304,-48277.1,+106502,-48019.6,+73367.9,-49469.5,+110303,-48283.5,+106501,-48025.6,+73367.4,-49472.9,+0.961842,+6.38394
2000-08-01 00:33:00 PDT,+110031,-48277.8,+105414,-48227.1,+72665.6,-49576.6,+110030,-48284.2,+105413,-48233,+72665.1,-49580,+0.957873,+6.35748
2000-08-01 00:34:00 PDT,+108762,-48532.4,+104935,-48328.7,+72406.2,-49575.7,+108761,-48538.6,+104934,-48334.6,+72405.7,-49579.1,+0.941186,+6.24624
2000-08-01 00:35:00 PDT,+108169,-48549.5,+104731,-48331,+72161.7,-49579.8,+108168,-48555.6,+104730,-48336.8,+72161.2,-49583.2,+0.9328,+6.19034
2000-08-01 00:36:00 PDT,+108385,-48447.4,+104396,-48338.9,+72160.8,-49580.3,+108384,-48453.6,+104395,-48344.7,+72160.3,-49583.6,+0.935234,+6.20656
2000-08-01 00:37:00 PDT,+108001,-48458.1,+104485,-48245.3,+72074.7,-49489,+108000,-48464.2,+104484,-48251.2,+72074.2,-49492.4,+0.929818,+6.17045
2000-08-01 00:38:00 PDT,+107240,-48480.3,+104281,-48246.1,+72076.6,-49487.1,+107239,-48486.4,+104280,-48251.9,+72076.1,-49490.4,+0.919151,+6.09934
2000-08-01 00:39:00 PDT,+107507,-48196,+104094,-48157.3,+72467.8,-49291.4,+107507,-48202.1,+104094,-48163.1,+72467.3,-49294.8,+0.921127,+6.11251
2000-08-01 00:40:00 PDT,+107459,-48200.7,+103942,-48077.5,+73384,-48989.8,+107459,-48206.8,+103941,-48083.3,+73383.5,-48993.2,+0.920476,+6.10817
2000-08-01 00:41:00 PDT,+106759,-48318.3,+104799,-47708.3,+72372.9,-49291.7,+106758,-48324.4,+104798,-47714.1,+72372.4,-49295.1,+0.911321,+6.04714
2000-08-01 00:42:00 PDT,+106916,-48231.7,+106675,-46999.9,+71868.6,-49402.9,+106916,-48237.8,+106675,-47005.9,+71868.1,-49406.2,+0.91299,+6.05827
2000-08-01 00:43:00 PDT,+107239,-48122.5,+105466,-47371.7,+71699.1,-49405.4,+107238,-48128.5,+105466,-47377.6,+71698.6,-49408.7,+0.916855,+6.08403
2000-08-01 00:44:00 PDT,+106494,-48219,+102727,-48184.8,+71104.6,-49504,+106493,-48225,+102726,-48190.4,+71104.1,-49507.3,+0.906958,+6.01805
2000-08-01 00:45:00 PDT,+106384,-48225.3,+103864,-47790.7,+71075.4,-49506.5,+106383,-48231.3,+103864,-47796.4,+71074.9,-49509.8,+0.905459,+6.00806
2000-08-01 00:46:00 PDT,+106663,-48089.5,+103265,-47817.1,+71713.3,-49305.9,+106662,-48095.6,+103264,-47822.8,+71712.8,-49309.3,+0.90851,+6.0284
2000-08-01 00:47:00 PDT,+107301,-47885.3,+103017,-47826.3,+71711.5,-49307.1,+107300,-47891.3,+103016,-47832,+71711,-49310.4,+0.916227,+6.07985
2000-08-01 00:48:00 PDT,+106393,-48132.2,+103596,-47619.5,+70966.4,-49505.6,+106392,-48138.2,+103595,-47625.2,+70965.9,-49508.9,+0.904991,+6.00494
2000-08-01 00:49:00 PDT,+108145,-47550.1,+103132,-47729,+71897.5,-49178.5,+108144,-47556.3,+103131,-47734.7,+71897,-49181.9,+0.926115,+6.14576
2000-08-01 00:50:00 PDT,+108631,-47347.8,+102672,-47802,+72138.4,-49021.1,+108630,-47354,+102671,-47807.7,+72137.9,-49024.5,+0.931802,+6.18368
2000-08-01 00:51:00 PDT,+107641,-47535.6,+102919,-47698.5,+72467.1,-48893.3,+107640,-47541.7,+102918,-47704.2,+72466.6,-48896.7,+0.918853,+6.09735
2000-08-01 00:52:00 PDT,+108519,-47130.7,+102214,-47881.1,+73411.9,-48566.1,+108518,-47136.8,+102213,-47886.7,+73411.3,-48569.5,+0.928852,+6.16401
2000-08-01 00:53:00 PDT,+107625,-47263.3,+103329,-47470,+72814.5,-48668.1,+107624,-47269.4,+103328,-47475.7,+72813.9,-48671.5,+0.916918,+6.08445
2000-08-01 00:54:00 PDT,+107759,-47206.1,+103371,-47371.7,+73476,-48436.7,+107758,-47212.2,+103370,-47377.4,+73475.5,-48440.1,+0.918467,+6.09478
2000-08-01 00:55:00 PDT,+107151,-47356.6,+104559,-46968.7,+72921,-48570.8,+107150,-47362.6,+104558,-46974.5,+72920.5,-48574.2,+0.910788,+6.04359
2000-08-01 00:56:00 PDT,+105613,-47776,+105588,-46557.2,+71183.3,-49067.6,+105613,-47781.9,+105587,-46563.1,+71182.8,-49070.9,+0.891825,+5.91717
2000-08-01 00:57:00 PDT,+106580,-47373.1,+106309,-46277.5,+70864.5,-49146.1,+106579,-47379.1,+106308,-46283.4,+70864,-49149.4,+0.902831,+5.99054
2000-08-01 00:58:00 PDT,+105981,-47466.6,+103510,-47095.1,+70945.3,-49043.6,+105981,-47472.6,+103509,-47100.8,+70944.8,-49046.9,+0.89502,+5.93847
2000-08-01 00:59:00 PDT,+104196,-47981.7,+103150,-47187,+70483.2,-49166.2,+104195,-47987.5,+103150,-47192.7,+70482.7,-49169.4,+0.873498,+5.79499
2000-08-01 01:00:00 PDT,+104928,-47484.1,+101083,-47422.7,+69729.3,-49212.5,+104927,-47490,+101082,-47428.2,+69728.8,-49215.7,+0.880462,+5.84141
2000-08-01 01:01:00 PDT,+104135,-47721.5,+100543,-47557.1,+70178.3,-49040.9,+104134,-47727.3,+100542,-47562.5,+70177.8,-49044.2,+0.871018,+5.77845
2000-08-01 01:02:00 PDT,+102275,-48210.3,+101233,-47316.7,+70041.9,-49039.7,+102274,-48215.9,+101233,-47322.2,+70041.4,-49042.9,+0.848766,+5.63011
2000-08-01 01:03:00 PDT,+102513,-48104.3,+99532.8,-47826.5,+70256.1,-48937.6,+102512,-48109.9,+99532,-47831.8,+70255.6,-48940.8,+0.851316,+5.6471
2000-08-01 01:04:00 PDT,+102271,-48135.4,+98607.2,-48034.3,+70236.7,-48904.4,+102270,-48141,+98606.4,-48039.6,+70236.2,-48907.6,+0.848236,+5.62657
2000-08-01 01:05:00 PDT,+191119,-45699.8,+215340,-44201.2,+134642,-47920.9,+191117,-45716.8,+215337,-44222.5,+134641,-47929.9,+2.5536,+16.9956
2000-08-01 01:06:00 PDT,+190571,-45813,+214865,-44325.3,+135167,-47716,+190568,-45829.9,+214862,-44346.5,+135165,-47725.1,+2.54045,+16.908
2000-08-01 01:07:00 PDT,+190434,-45815.8,+214638,-44346.5,+135432,-47615.3,+190432,-45832.7,+214635,-44367.6,+135431,-47624.4,+2.53705,+16.8853
2000-08-01 01:08:00 PDT,+190811,-45688.6,+219163,-44048.4,+134484,-47917.2,+190809,-45705.5,+219160,-44070.4,+134483,-47926.2,+2.54577,+16.9434
2000-08-01 01:09:00 PDT,+190701,-45708.5,+220551,-43510.9,+133890,-48089.9,+190698,-45725.4,+220547,-43533.2,+133889,-48098.8,+2.5431,+16.9257
2000-08-01 01:10:00 PDT,+190752,-45567.2,+211311,-44082.3,+128767,-48344.9,+190749,-45584.2,+211308,-44102.8,+128766,-48353.2,+2.54353,+16.9285
2000-08-01 01:11:00 PDT,+187556,-45180.2,+193815,-44707.1,+124550,-48261.9,+187554,-45196.5,+193812,-44724.5,+124549,-48269.7,+2.46142,+16.3811
2000-08-01 01:12:00 PDT,+182870,-45366.1,+171580,-45601.3,+114647,-48538.6,+182868,-45381.7,+171578,-45615.2,+114646,-48545.4,+2.34798,+15.6249
2000-08-01 01:13:00 PDT,+171012,-45236.7,+156917,-46235.4,+108365,-48855.4,+171010,-45250.5,+156915,-46247.2,+108364,-48861.6,+2.07024,+13.7733
2000-08-01 01:14:00 PDT,+162400,-45345.4,+146704,-46802.2,+98999.7,-49010.4,+162398,-45357.9,+146702,-46812.7,+98998.8,-49015.8,+1.88138,+12.5142
2000-08-01 01:15:00 PDT,+148059,-45950.6,+141862,-47138.4,+94443.9,-49014.6,+148057,-45961.2,+141861,-47148.2,+94443.2,-49019.6,+1.59117,+10.5795
2000-08-01 01:16:00 PDT,+120620,-47167.2,+129736,-47104.6,+91103.3,-48639.7,+120619,-47174.6,+129735,-47113,+91102.6,-48644.4,+1.11208,+7.38552
2000-08-01 01:17:00 PDT,+114899,-47642.2,+125721,-46978.7,+87519.8,-48403.7,+114898,-47649,+125719,-46986.6,+87519.2,-48408.1,+1.02613,+6.81252
2000-08-01 01:18:00 PDT,+110649,-47621.1,+111144,-47516.7,+83307.3,-48339.9,+110648,-47627.5,+111143,-47523.1,+83306.7,-48344,+0.962718,+6.38979
2000-08-01 01:19:00 PDT,+110565,-47597.4,+101796,-47728.9,+82965.6,-48419.3,+110564,-47603.8,+101795,-47734.5,+82964.9,-48423.3,+0.961345,+6.38063
2000-08-01 01:20:00 PDT,+109757,-47810.5,+102087,-47593.7,+82072.8,-48651.5,+109756,-47816.8,+102086,-47599.3,+82072.2,-48655.6,+0.950946,+6.3113
2000-08-01 01:21:00 PDT,+100146,-48204.9,+103631,-47008.6,+80884.6,-48934.9,+100145,-48210.3,+103631,-47014.3,+80884,-48938.9,+0.820288,+5.44025
2000-08-01 01:22:00 PDT,+100552,-47993.5,+104561,-46619.8,+67777.1,-49061.7,+100552,-47999,+104560,-46625.6,+67776.7,-49064.7,+0.824336,+5.46724
2000-08-01 01:23:00 PDT,+100448,-47992.3,+104077,-46736.4,+67366.6,-49131.8,+100447,-47997.7,+104077,-46742.1,+67366.1,-49134.9,+0.822944,+5.45796
