# file...... Voltage_671.csv;;;;;;
# date...... Fri Jun 12 18:57:12 2020;;;;;;
# user...... User;;;;;;
# host...... (null);;;;;;
# target.... node 50;;;;;;
# trigger... (none);;;;;;
# interval.. 30;;;;;;
# limit..... 5760;;;;;;
# timestamp;voltage_A.real;voltage_A.imag;voltage_B.real;voltage_B.imag;voltage_C.real;voltage_C.imag
2000-08-01 00:00:00 PDT;2428,73;-36,5838;-1247,74;-2105,78;-1201,93;2125,15
2000-08-01 00:00:30 PDT;2413,54;-36,4843;-1240,13;-2092,63;-1194,44;2111,95
2000-08-01 00:01:00 PDT;2413,7;-36,5305;-1232,33;-2079,56;-1186,75;2098,68
2000-08-01 00:01:30 PDT;2413,75;-36,3112;-1232,31;-2079,45;-1186,78;2098,76
2000-08-01 00:02:00 PDT;2413,78;-36,2161;-1232,3;-2079,42;-1186,81;2098,79
2000-08-01 00:02:30 PDT;2413,81;-36,2557;-1232,23;-2079,5;-1186,79;2098,76
2000-08-01 00:03:00 PDT;2413,8;-36,1836;-1232,25;-2079,47;-1186,86;2098,77
2000-08-01 00:03:30 PDT;2413,84;-36,1615;-1232,19;-2079,5;-1186,83;2098,77
2000-08-01 00:04:00 PDT;2413,9;-36,1711;-1232,08;-2079,63;-1186,87;2098,72
2000-08-01 00:04:30 PDT;2413,95;-35,9941;-1232,06;-2079,54;-1186,87;2098,79
2000-08-01 00:05:00 PDT;2403,58;-28,8845;-1205,94;-2059,33;-1174,82;2064,91
2000-08-01 00:05:30 PDT;2403,57;-28,8608;-1205,95;-2059,34;-1182,41;2077,9
2000-08-01 00:06:00 PDT;2403,64;-28,7144;-1205,89;-2059,3;-1182,38;2077,95
2000-08-01 00:06:30 PDT;2403,69;-28,6543;-1205,84;-2059,3;-1182,37;2077,97
2000-08-01 00:07:00 PDT;2403,75;-28,6718;-1205,73;-2059,41;-1182,34;2077,93
2000-08-01 00:07:30 PDT;2403,78;-28,6297;-1205,7;-2059,42;-1182,33;2077,94
2000-08-01 00:08:00 PDT;2403,8;-28,6553;-1205,63;-2059,51;-1182,38;2077,89
2000-08-01 00:08:30 PDT;2403,85;-28,6413;-1205,56;-2059,57;-1182,35;2077,88
2000-08-01 00:09:00 PDT;2403,85;-28,6347;-1205,54;-2059,6;-1182,4;2077,86
2000-08-01 00:09:30 PDT;2403,83;-28,6063;-1205,56;-2059,59;-1182,48;2077,86
2000-08-01 00:10:00 PDT;2402,92;-21,5456;-1206,28;-2053,13;-1185,73;2094,72
2000-08-01 00:10:30 PDT;2402,92;-21,5233;-1206,27;-2053,14;-1185,77;2094,72
2000-08-01 00:11:00 PDT;2402,98;-21,5716;-1206,15;-2053,27;-1185,73;2094,67
2000-08-01 00:11:30 PDT;2402,99;-21,5357;-1206,12;-2053,29;-1185,78;2094,66
2000-08-01 00:12:00 PDT;2403,03;-21,498;-1206,08;-2053,31;-1185,76;2094,67
2000-08-01 00:12:30 PDT;2403,09;-21,5879;-1205,93;-2053,49;-1185,73;2094,59
2000-08-01 00:13:00 PDT;2403,09;-21,5028;-1205,95;-2053,45;-1185,8;2094,61
2000-08-01 00:13:30 PDT;2403,09;-21,5253;-1205,9;-2053,55;-1185,89;2094,56
2000-08-01 00:14:00 PDT;2403,14;-21,5528;-1205,79;-2053,67;-1185,91;2094,5
2000-08-01 00:14:30 PDT;2403,17;-21,4698;-1205,78;-2053,63;-1185,9;2094,54
2000-08-01 00:15:00 PDT;2396,86;-26,8743;-1218,83;-2064,99;-1191,32;2090,67
2000-08-01 00:15:30 PDT;2396,88;-26,8283;-1218,8;-2065;-1191,33;2090,67
2000-08-01 00:16:00 PDT;2396,75;-26,8602;-1218,92;-2064,92;-1191,47;2090,67
2000-08-01 00:16:30 PDT;2396,72;-26,9265;-1218,88;-2065,03;-1191,52;2090,62
2000-08-01 00:17:00 PDT;2396,71;-26,9166;-1218,88;-2065,04;-1191,57;2090,61
2000-08-01 00:17:30 PDT;2396,75;-26,8582;-1218,84;-2065,03;-1191,54;2090,63
2000-08-01 00:18:00 PDT;2396,83;-26,7825;-1218,78;-2065,02;-1191,5;2090,65
2000-08-01 00:18:30 PDT;2396,95;-26,5763;-1218,72;-2064,92;-1191,45;2090,73
2000-08-01 00:19:00 PDT;2396,96;-26,6087;-1218,7;-2064,98;-1191,45;2090,71
2000-08-01 00:19:30 PDT;2397,01;-26,5957;-1218,61;-2065,11;-1191,48;2090,67
2000-08-01 00:20:00 PDT;2397;-26,5909;-1218,62;-2065,12;-1191,54;2090,65
2000-08-01 00:20:30 PDT;2396,99;-26,5405;-1218,61;-2065,15;-1191,69;2090,63
2000-08-01 00:21:00 PDT;2396,91;-26,6529;-1218,63;-2065,23;-1191,68;2090,57
